# Monthly measles cases in Ontario Canada; 1904-89,,,
# We are missing monthly data for 1913; 1926; 1927; and 1970,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,
#The first publication that made use of this data file was: C. T. Bauch and D. J. D. Earn (2003) 'Transients and Attractors in Epidemics' Proceedings of the Royal Society of London Series B 270:1573-1578,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,
year,month,numdate,cases
1915,9,1915.7417,105
1915,10,1915.8250,400
1915,11,1915.9083,1113
1915,12,1915.9917,3432
1916,1,1916.0750,3018
1916,2,1916.1583,2793
1916,3,1916.2417,5158
1916,4,1916.3250,3206
1916,5,1916.4083,2980
1916,6,1916.4917,2039
1916,7,1916.5750,1234
1916,8,1916.6583,243
1916,9,1916.7417,94
1916,10,1916.8250,248
1916,11,1916.9083,515
1916,12,1916.9917,449
1917,1,1917.0750,1180
1917,2,1917.1583,1235
1917,3,1917.2417,1700
1917,4,1917.3250,842
1917,5,1917.4083,663
1917,6,1917.4917,488
1917,7,1917.5750,277
1917,8,1917.6583,114
1917,9,1917.7417,104
1917,10,1917.8250,141
1917,11,1917.9083,384
1917,12,1917.9917,667
1918,1,1918.0750,1013
1918,2,1918.1583,861
1918,3,1918.2417,1256
1918,4,1918.3250,1461
1918,5,1918.4083,1935
1918,6,1918.4917,1426
1918,7,1918.5750,748
1918,8,1918.6583,347
1918,9,1918.7417,110
1918,10,1918.8250,188
1918,11,1918.9083,68
1918,12,1918.9917,18
1919,1,1919.0750,5
1919,2,1919.1583,21
1919,3,1919.2417,39
1919,4,1919.3250,53
1919,5,1919.4083,34
1919,6,1919.4917,104
1919,7,1919.5750,83
1919,8,1919.6583,64
1919,9,1919.7417,51
1919,10,1919.8250,96
1919,11,1919.9083,412
1919,12,1919.9917,1026
1920,1,1920.0750,1926
1920,2,1920.1583,1623
1920,3,1920.2417,1256
1920,4,1920.3250,1618
1920,5,1920.4083,2264
1920,6,1920.4917,3613
1920,7,1920.5750,1419
1920,8,1920.6583,626
1920,9,1920.7417,142
1920,10,1920.8250,290
1920,11,1920.9083,303
1920,12,1920.9917,913
1921,1,1921.0750,595
1921,2,1921.1583,395
1921,3,1921.2417,238
1921,4,1921.3250,284
1921,5,1921.4083,516
1921,6,1921.4917,390
1921,7,1921.5750,223
1921,8,1921.6583,50
1921,9,1921.7417,14
1921,10,1921.8250,16
1921,11,1921.9083,36
1921,12,1921.9917,94
1922,1,1922.0750,205
1922,2,1922.1583,554
1922,3,1922.2417,695
1922,4,1922.3250,1266
1922,5,1922.4083,2165
1922,6,1922.4917,2103
1922,7,1922.5750,890
1922,8,1922.6583,250
1922,9,1922.7417,62
1922,10,1922.8250,166
1922,11,1922.9083,235
1922,12,1922.9917,359
1923,1,1923.0750,331
1923,2,1923.1583,703
1923,3,1923.2417,1227
1923,4,1923.3250,1148
1923,5,1923.4083,2359
1923,6,1923.4917,2149
1923,7,1923.5750,1412
1923,8,1923.6583,256
1923,9,1923.7417,95
1923,10,1923.8250,208
1923,11,1923.9083,293
1923,12,1923.9917,762
1924,1,1924.0750,1222
1924,2,1924.1583,1914
1924,3,1924.2417,2811
1924,4,1924.3250,3209
1924,5,1924.4083,4577
1924,6,1924.4917,4321
1924,7,1924.5750,1645
1924,8,1924.6583,879
1924,9,1924.7417,233
1924,10,1924.8250,887
1924,11,1924.9083,1034
1924,12,1924.9917,1363
1925,1,1925.0750,2033
1925,2,1925.1583,1576
1925,3,1925.2417,1663
1925,4,1925.3250,1643
1925,5,1925.4083,2152
1925,6,1925.4917,1063
1925,7,1925.5750,642
1925,8,1925.6583,164
1925,9,1925.7417,59
1925,10,1925.8250,399
1925,11,1925.9083,530
1925,12,1925.9917,489
1926,1,1926.0750,0
1926,2,1926.1583,0
1926,3,1926.2417,0
1926,4,1926.3250,0
1926,5,1926.4083,0
1926,6,1926.4917,0
1926,7,1926.5750,0
1926,8,1926.6583,0
1926,9,1926.7417,0
1926,10,1926.8250,0
1926,11,1926.9083,0
1926,12,1926.9917,0
1927,1,1927.0750,0
1927,2,1927.1583,0
1927,3,1927.2417,0
1927,4,1927.3250,0
1927,5,1927.4083,0
1927,6,1927.4917,0
1927,7,1927.5750,0
1927,8,1927.6583,0
1927,9,1927.7417,0
1927,10,1927.8250,0
1927,11,1927.9083,0
1927,12,1927.9917,0
1928,1,1928.0750,1149
1928,2,1928.1583,1599
1928,3,1928.2417,2299
1928,4,1928.3250,2021
1928,5,1928.4083,2003
1928,6,1928.4917,2403
1928,7,1928.5750,903
1928,8,1928.6583,265
1928,9,1928.7417,87
1928,10,1928.8250,185
1928,11,1928.9083,709
1928,12,1928.9917,2565
1929,1,1929.0750,2418
1929,2,1929.1583,3521
1929,3,1929.2417,4534
1929,4,1929.3250,2387
1929,5,1929.4083,1889
1929,6,1929.4917,3077
1929,7,1929.5750,954
1929,8,1929.6583,403
1929,9,1929.7417,177
1929,10,1929.8250,399
1929,11,1929.9083,636
1929,12,1929.9917,384
1930,1,1930.0750,627
1930,2,1930.1583,1605
1930,3,1930.2417,4412
1930,4,1930.3250,2785
1930,5,1930.4083,1883
1930,6,1930.4917,1319
1930,7,1930.5750,489
1930,8,1930.6583,201
1930,9,1930.7417,51
1930,10,1930.8250,57
1930,11,1930.9083,105
1930,12,1930.9917,83
1931,1,1931.0750,159
1931,2,1931.1583,152
1931,3,1931.2417,258
1931,4,1931.3250,228
1931,5,1931.4083,1222
1931,6,1931.4917,770
1931,7,1931.5750,570
1931,8,1931.6583,675
1931,9,1931.7417,103
1931,10,1931.8250,307
1931,11,1931.9083,1080
1931,12,1931.9917,2428
1932,1,1932.0750,4926
1932,2,1932.1583,4198
1932,3,1932.2417,3375
1932,4,1932.3250,3529
1932,5,1932.4083,5835
1932,6,1932.4917,3753
1932,7,1932.5750,1944
1932,8,1932.6583,338
1932,9,1932.7417,127
1932,10,1932.8250,839
1932,11,1932.9083,997
1932,12,1932.9917,2334
1933,1,1933.0750,1935
1933,2,1933.1583,1489
1933,3,1933.2417,1106
1933,4,1933.3250,944
1933,5,1933.4083,564
1933,6,1933.4917,369
1933,7,1933.5750,184
1933,8,1933.6583,25
1933,9,1933.7417,14
1933,10,1933.8250,29
1933,11,1933.9083,77
1933,12,1933.9917,43
1934,1,1934.0750,208
1934,2,1934.1583,77
1934,3,1934.2417,199
1934,4,1934.3250,272
1934,5,1934.4083,160
1934,6,1934.4917,249
1934,7,1934.5750,176
1934,8,1934.6583,61
1934,9,1934.7417,67
1934,10,1934.8250,191
1934,11,1934.9083,155
1934,12,1934.9917,577
1935,1,1935.0750,1541
1935,2,1935.1583,4016
1935,3,1935.2417,8873
1935,4,1935.3250,8045
1935,5,1935.4083,6063
1935,6,1935.4917,6867
1935,7,1935.5750,2857
1935,8,1935.6583,530
1935,9,1935.7417,329
1935,10,1935.8250,765
1935,11,1935.9083,2225
1935,12,1935.9917,2847
1936,1,1936.0750,4027
1936,2,1936.1583,5812
1936,3,1936.2417,4368
1936,4,1936.3250,3053
1936,5,1936.4083,3052
1936,6,1936.4917,1509
1936,7,1936.5750,952
1936,8,1936.6583,328
1936,9,1936.7417,353
1936,10,1936.8250,1231
1936,11,1936.9083,800
1936,12,1936.9917,944
1937,1,1937.0750,1434
1937,2,1937.1583,1799
1937,3,1937.2417,1645
1937,4,1937.3250,1427
1937,5,1937.4083,3055
1937,6,1937.4917,2851
1937,7,1937.5750,1465
1937,8,1937.6583,397
1937,9,1937.7417,166
1937,10,1937.8250,214
1937,11,1937.9083,518
1937,12,1937.9917,838
1938,1,1938.0750,1205
1938,2,1938.1583,924
1938,3,1938.2417,1579
1938,4,1938.3250,2359
1938,5,1938.4083,2216
1938,6,1938.4917,2979
1938,7,1938.5750,1549
1938,8,1938.6583,199
1938,9,1938.7417,76
1938,10,1938.8250,253
1938,11,1938.9083,808
1938,12,1938.9917,2459
1939,1,1939.0750,3385
1939,2,1939.1583,4528
1939,3,1939.2417,3824
1939,4,1939.3250,4076
1939,5,1939.4083,3267
1939,6,1939.4917,3680
1939,7,1939.5750,2006
1939,8,1939.6583,408
1939,9,1939.7417,129
1939,10,1939.8250,381
1939,11,1939.9083,859
1939,12,1939.9917,1284
1940,1,1940.0750,1608
1940,2,1940.1583,2049
1940,3,1940.2417,3784
1940,4,1940.3250,1783
1940,5,1940.4083,1495
1940,6,1940.4917,1144
1940,7,1940.5750,566
1940,8,1940.6583,391
1940,9,1940.7417,292
1940,10,1940.8250,440
1940,11,1940.9083,1323
1940,12,1940.9917,1325
1941,1,1941.0750,2328
1941,2,1941.1583,3346
1941,3,1941.2417,5690
1941,4,1941.3250,5040
1941,5,1941.4083,7402
1941,6,1941.4917,3775
1941,7,1941.5750,1049
1941,8,1941.6583,378
1941,9,1941.7417,92
1941,10,1941.8250,149
1941,11,1941.9083,460
1941,12,1941.9917,305
1942,1,1942.0750,648
1942,2,1942.1583,533
1942,3,1942.2417,769
1942,4,1942.3250,724
1942,5,1942.4083,1019
1942,6,1942.4917,1033
1942,7,1942.5750,708
1942,8,1942.6583,274
1942,9,1942.7417,45
1942,10,1942.8250,173
1942,11,1942.9083,351
1942,12,1942.9917,513
1943,1,1943.0750,468
1943,2,1943.1583,841
1943,3,1943.2417,1417
1943,4,1943.3250,4343
1943,5,1943.4083,8953
1943,6,1943.4917,6235
1943,7,1943.5750,3174
1943,8,1943.6583,443
1943,9,1943.7417,196
1943,10,1943.8250,382
1943,11,1943.9083,1032
1943,12,1943.9917,919
1944,1,1944.0750,1544
1944,2,1944.1583,2420
1944,3,1944.2417,2483
1944,4,1944.3250,3246
1944,5,1944.4083,2853
1944,6,1944.4917,2154
1944,7,1944.5750,879
1944,8,1944.6583,213
1944,9,1944.7417,81
1944,10,1944.8250,168
1944,11,1944.9083,364
1944,12,1944.9917,477
1945,1,1945.0750,292
1945,2,1945.1583,425
1945,3,1945.2417,447
1945,4,1945.3250,435
1945,5,1945.4083,800
1945,6,1945.4917,895
1945,7,1945.5750,353
1945,8,1945.6583,253
1945,9,1945.7417,189
1945,10,1945.8250,557
1945,11,1945.9083,1297
1945,12,1945.9917,2770
1946,1,1946.0750,4504
1946,2,1946.1583,5870
1946,3,1946.2417,7461
1946,4,1946.3250,4827
1946,5,1946.4083,3748
1946,6,1946.4917,3566
1946,7,1946.5750,1325
1946,8,1946.6583,371
1946,9,1946.7417,173
1946,10,1946.8250,343
1946,11,1946.9083,350
1946,12,1946.9917,379
1947,1,1947.0750,376
1947,2,1947.1583,275
1947,3,1947.2417,646
1947,4,1947.3250,453
1947,5,1947.4083,1396
1947,6,1947.4917,919
1947,7,1947.5750,504
1947,8,1947.6583,262
1947,9,1947.7417,148
1947,10,1947.8250,165
1947,11,1947.9083,695
1947,12,1947.9917,1307
1948,1,1948.0750,3712
1948,2,1948.1583,5723
1948,3,1948.2417,5319
1948,4,1948.3250,4728
1948,5,1948.4083,5979
1948,6,1948.4917,3928
1948,7,1948.5750,2012
1948,8,1948.6583,286
1948,9,1948.7417,176
1948,10,1948.8250,316
1948,11,1948.9083,442
1948,12,1948.9917,422
1949,1,1949.0750,1108
1949,2,1949.1583,1420
1949,3,1949.2417,1312
1949,4,1949.3250,967
1949,5,1949.4083,986
1949,6,1949.4917,1309
1949,7,1949.5750,810
1949,8,1949.6583,176
1949,9,1949.7417,104
1949,10,1949.8250,285
1949,11,1949.9083,319
1949,12,1949.9917,1030
1950,1,1950.0750,1677
1950,2,1950.1583,2380
1950,3,1950.2417,2331
1950,4,1950.3250,2712
1950,5,1950.4083,2479
1950,6,1950.4917,2731
1950,7,1950.5750,1667
1950,8,1950.6583,536
1950,9,1950.7417,467
1950,10,1950.8250,781
1950,11,1950.9083,2469
1950,12,1950.9917,5745
1951,1,1951.0750,7518
1951,2,1951.1583,8117
1951,3,1951.2417,4266
1951,4,1951.3250,3281
1951,5,1951.4083,2334
1951,6,1951.4917,1689
1951,7,1951.5750,427
1951,8,1951.6583,157
1951,9,1951.7417,177
1951,10,1951.8250,211
1951,11,1951.9083,332
1951,12,1951.9917,784
1952,1,1952.0750,1626
1952,2,1952.1583,1976
1952,3,1952.2417,2553
1952,4,1952.3250,1763
1952,5,1952.4083,2806
1952,6,1952.4917,1746
1952,7,1952.5750,991
1952,8,1952.6583,262
1952,9,1952.7417,140
1952,10,1952.8250,369
1952,11,1952.9083,1038
1952,12,1952.9917,1544
1953,1,1953.0750,4926
1953,2,1953.1583,4126
1953,3,1953.2417,3867
1953,4,1953.3250,2554
1953,5,1953.4083,3328
1953,6,1953.4917,2128
1953,7,1953.5750,613
1953,8,1953.6583,233
1953,9,1953.7417,62
1953,10,1953.8250,213
1953,11,1953.9083,341
1953,12,1953.9917,476
1954,1,1954.0750,1265
1954,2,1954.1583,1495
1954,3,1954.2417,1136
1954,4,1954.3250,1162
1954,5,1954.4083,935
1954,6,1954.4917,905
1954,7,1954.5750,847
1954,8,1954.6583,223
1954,9,1954.7417,110
1954,10,1954.8250,253
1954,11,1954.9083,615
1954,12,1954.9917,845
1955,1,1955.0750,1474
1955,2,1955.1583,1671
1955,3,1955.2417,2494
1955,4,1955.3250,3017
1955,5,1955.4083,2647
1955,6,1955.4917,2474
1955,7,1955.5750,1287
1955,8,1955.6583,311
1955,9,1955.7417,201
1955,10,1955.8250,1029
1955,11,1955.9083,2112
1955,12,1955.9917,3203
1956,1,1956.0750,4003
1956,2,1956.1583,3793
1956,3,1956.2417,3753
1956,4,1956.3250,2402
1956,5,1956.4083,3062
1956,6,1956.4917,3127
1956,7,1956.5750,864
1956,8,1956.6583,475
1956,9,1956.7417,546
1956,10,1956.8250,638
1956,11,1956.9083,1297
1956,12,1956.9917,1886
1957,1,1957.0750,2098
1957,2,1957.1583,2348
1957,3,1957.2417,2470
1957,4,1957.3250,1545
1957,5,1957.4083,1499
1957,6,1957.4917,1521
1957,7,1957.5750,406
1957,8,1957.6583,235
1957,9,1957.7417,112
1957,10,1957.8250,88
1957,11,1957.9083,240
1957,12,1957.9917,280
1958,1,1958.0750,433
1958,2,1958.1583,607
1958,3,1958.2417,1172
1958,4,1958.3250,1243
1958,5,1958.4083,2662
1958,6,1958.4917,2557
1958,7,1958.5750,1271
1958,8,1958.6583,640
1958,9,1958.7417,374
1958,10,1958.8250,811
1958,11,1958.9083,2614
1958,12,1958.9917,2224
1959,1,1959.0750,5276
1959,2,1959.1583,4519
1959,3,1959.2417,3147
1959,4,1959.3250,1812
1959,5,1959.4083,2595
1959,6,1959.4917,1432
1959,7,1959.5750,452
1959,8,1959.6583,205
1959,9,1959.7417,154
1959,10,1959.8250,175
1959,11,1959.9083,175
1959,12,1959.9917,369
1960,1,1960.0750,834
1960,2,1960.1583,981
1960,3,1960.2417,1059
1960,4,1960.3250,1261
1960,5,1960.4083,699
1960,6,1960.4917,463
1960,7,1960.5750,354
1960,8,1960.6583,122
1960,9,1960.7417,107
1960,10,1960.8250,371
1960,11,1960.9083,327
1960,12,1960.9917,1000
1961,1,1961.0750,1991
1961,2,1961.1583,3564
1961,3,1961.2417,5217
1961,4,1961.3250,5718
1961,5,1961.4083,4993
1961,6,1961.4917,4189
1961,7,1961.5750,2201
1961,8,1961.6583,366
1961,9,1961.7417,317
1961,10,1961.8250,455
1961,11,1961.9083,968
1961,12,1961.9917,1217
1962,1,1962.0750,1461
1962,2,1962.1583,1927
1962,3,1962.2417,2078
1962,4,1962.3250,1421
1962,5,1962.4083,1488
1962,6,1962.4917,1657
1962,7,1962.5750,898
1962,8,1962.6583,252
1962,9,1962.7417,277
1962,10,1962.8250,470
1962,11,1962.9083,749
1962,12,1962.9917,1781
1963,1,1963.0750,2479
1963,2,1963.1583,2508
1963,3,1963.2417,3960
1963,4,1963.3250,2404
1963,5,1963.4083,2409
1963,6,1963.4917,2591
1963,7,1963.5750,762
1963,8,1963.6583,287
1963,9,1963.7417,184
1963,10,1963.8250,402
1963,11,1963.9083,1030
1963,12,1963.9917,1227
1964,1,1964.0750,1118
1964,2,1964.1583,2878
1964,3,1964.2417,1936
1964,4,1964.3250,1851
1964,5,1964.4083,3196
1964,6,1964.4917,1691
1964,7,1964.5750,963
1964,8,1964.6583,219
1964,9,1964.7417,118
1964,10,1964.8250,494
1964,11,1964.9083,511
1964,12,1964.9917,806
1965,1,1965.0750,1837
1965,2,1965.1583,2422
1965,3,1965.2417,3518
1965,4,1965.3250,3658
1965,5,1965.4083,4362
1965,6,1965.4917,2617
1965,7,1965.5750,1099
1965,8,1965.6583,244
1965,9,1965.7417,164
1965,10,1965.8250,318
1965,11,1965.9083,576
1965,12,1965.9917,677
1966,1,1966.0750,1378
1966,2,1966.1583,1112
1966,3,1966.2417,1172
1966,4,1966.3250,1323
1966,5,1966.4083,1023
1966,6,1966.4917,1009
1966,7,1966.5750,426
1966,8,1966.6583,100
1966,9,1966.7417,51
1966,10,1966.8250,124
1966,11,1966.9083,203
1966,12,1966.9917,650
1967,1,1967.0750,845
1967,2,1967.1583,1296
1967,3,1967.2417,1621
1967,4,1967.3250,2621
1967,5,1967.4083,2483
1967,6,1967.4917,2345
1967,7,1967.5750,924
1967,8,1967.6583,155
1967,9,1967.7417,97
1967,10,1967.8250,330
1967,11,1967.9083,601
1967,12,1967.9917,698
1968,1,1968.0750,683
1968,2,1968.1583,590
1968,3,1968.2417,550
1968,4,1968.3250,572
1968,5,1968.4083,725
1968,6,1968.4917,1075
1968,7,1968.5750,180
1968,8,1968.6583,94
1968,9,1968.7417,49
1968,10,1968.8250,85
1968,11,1968.9083,207
1968,12,1968.9917,186
1969,1,1969.0750,221
1969,2,1969.1583,326
1969,3,1969.2417,402
1969,4,1969.3250,462
1969,5,1969.4083,574
1969,6,1969.4917,469
1969,7,1969.5750,422
1969,8,1969.6583,202
1969,9,1969.7417,49
1969,10,1969.8250,54
1969,11,1969.9083,185
1969,12,1969.9917,192
1970,1,1970.0750,0
1970,2,1970.1583,0
1970,3,1970.2417,0
1970,4,1970.3250,0
1970,5,1970.4083,0
1970,6,1970.4917,0
1970,7,1970.5750,0
1970,8,1970.6583,0
1970,9,1970.7417,0
1970,10,1970.8250,0
1970,11,1970.9083,0
1970,12,1970.9917,0
1971,1,1971.0750,597
1971,2,1971.1583,737
1971,3,1971.2417,680
1971,4,1971.3250,767
1971,5,1971.4083,710
1971,6,1971.4917,450
1971,7,1971.5750,229
1971,8,1971.6583,38
1971,9,1971.7417,25
1971,10,1971.8250,47
1971,11,1971.9083,55
1971,12,1971.9917,55
1972,1,1972.0750,88
1972,2,1972.1583,109
1972,3,1972.2417,76
1972,4,1972.3250,89
1972,5,1972.4083,76
1972,6,1972.4917,119
1972,7,1972.5750,63
1972,8,1972.6583,37
1972,9,1972.7417,29
1972,10,1972.8250,46
1972,11,1972.9083,67
1972,12,1972.9917,100
1973,1,1973.0750,65
1973,2,1973.1583,101
1973,3,1973.2417,168
1973,4,1973.3250,199
1973,5,1973.4083,321
1973,6,1973.4917,730
1973,7,1973.5750,236
1973,8,1973.6583,118
1973,9,1973.7417,99
1973,10,1973.8250,181
1973,11,1973.9083,293
1973,12,1973.9917,318
1974,1,1974.0750,336
1974,2,1974.1583,361
1974,3,1974.2417,426
1974,4,1974.3250,450
1974,5,1974.4083,782
1974,6,1974.4917,816
1974,7,1974.5750,287
1974,8,1974.6583,53
1974,9,1974.7417,621
1974,10,1974.8250,109
1974,11,1974.9083,367
1974,12,1974.9917,284
1975,1,1975.0750,274
1975,2,1975.1583,299
1975,3,1975.2417,625
1975,4,1975.3250,619
1975,5,1975.4083,912
1975,6,1975.4917,376
1975,7,1975.5750,108
1975,8,1975.6583,34
1975,9,1975.7417,50
1975,10,1975.8250,49
1975,11,1975.9083,80
1975,12,1975.9917,215
1976,1,1976.0750,197
1976,2,1976.1583,328
1976,3,1976.2417,249
1976,4,1976.3250,219
1976,5,1976.4083,276
1976,6,1976.4917,209
1976,7,1976.5750,114
1976,8,1976.6583,38
1976,9,1976.7417,16
1976,10,1976.8250,64
1976,11,1976.9083,91
1976,12,1976.9917,89
1977,1,1977.0750,216
1977,2,1977.1583,300
1977,3,1977.2417,402
1977,4,1977.3250,665
1977,5,1977.4083,588
1977,6,1977.4917,826
1977,7,1977.5750,491
1977,8,1977.6583,69
1977,9,1977.7417,36
1977,10,1977.8250,53
1977,11,1977.9083,135
1977,12,1977.9917,165
1978,1,1978.0750,123
1978,2,1978.1583,320
1978,3,1978.2417,375
1978,4,1978.3250,632
1978,5,1978.4083,514
1978,6,1978.4917,297
1978,7,1978.5750,142
1978,8,1978.6583,60
1978,9,1978.7417,39
1978,10,1978.8250,66
1978,11,1978.9083,78
1978,12,1978.9917,182
1979,1,1979.0750,204
1979,2,1979.1583,430
1979,3,1979.2417,655
1979,4,1979.3250,900
1979,5,1979.4083,1918
1979,6,1979.4917,2524
1979,7,1979.5750,265
1979,8,1979.6583,81
1979,9,1979.7417,69
1979,10,1979.8250,88
1979,11,1979.9083,136
1979,12,1979.9917,213
1980,1,1980.0750,436
1980,2,1980.1583,473
1980,3,1980.2417,1131
1980,4,1980.3250,1866
1980,5,1980.4083,2456
1980,6,1980.4917,978
1980,7,1980.5750,529
1980,8,1980.6583,86
1980,9,1980.7417,48
1980,10,1980.8250,87
1980,11,1980.9083,93
1980,12,1980.9917,70
1981,1,1981.0750,97
1981,2,1981.1583,104
1981,3,1981.2417,121
1981,4,1981.3250,84
1981,5,1981.4083,135
1981,6,1981.4917,58
1981,7,1981.5750,18
1981,8,1981.6583,27
1981,9,1981.7417,16
1981,10,1981.8250,52
1981,11,1981.9083,71
1981,12,1981.9917,66
1982,1,1982.0750,47
1982,2,1982.1583,53
1982,3,1982.2417,56
1982,4,1982.3250,44
1982,5,1982.4083,67
1982,6,1982.4917,41
1982,7,1982.5750,23
1982,8,1982.6583,15
1982,9,1982.7417,19
1982,10,1982.8250,32
1982,11,1982.9083,38
1982,12,1982.9917,64
1983,1,1983.0750,42
1983,2,1983.1583,39
1983,3,1983.2417,37
1983,4,1983.3250,44
1983,5,1983.4083,50
1983,6,1983.4917,36
1983,7,1983.5750,22
1983,8,1983.6583,15
1983,9,1983.7417,16
1983,10,1983.8250,30
1983,11,1983.9083,54
1983,12,1983.9917,188
1984,1,1984.0750,57
1984,2,1984.1583,170
1984,3,1984.2417,306
1984,4,1984.3250,248
1984,5,1984.4083,230
1984,6,1984.4917,158
1984,7,1984.5750,67
1984,8,1984.6583,26
1984,9,1984.7417,24
1984,10,1984.8250,24
1984,11,1984.9083,37
1984,12,1984.9917,62
1985,1,1985.0750,31
1985,2,1985.1583,57
1985,3,1985.2417,65
1985,4,1985.3250,83
1985,5,1985.4083,73
1985,6,1985.4917,72
1985,7,1985.5750,30
1985,8,1985.6583,23
1985,9,1985.7417,17
1985,10,1985.8250,25
1985,11,1985.9083,30
1985,12,1985.9917,27
1986,1,1986.0750,29
1986,2,1986.1583,100
1986,3,1986.2417,71
1986,4,1986.3250,1417
1986,5,1986.4083,284
1986,6,1986.4917,186
1986,7,1986.5750,162
1986,8,1986.6583,28
1986,9,1986.7417,40
1986,10,1986.8250,56
1986,11,1986.9083,68
1986,12,1986.9917,138
1987,1,1987.0750,113
1987,2,1987.1583,54
1987,3,1987.2417,63
1987,4,1987.3250,39
1987,5,1987.4083,70
1987,6,1987.4917,77
1987,7,1987.5750,29
1987,8,1987.6583,13
1987,9,1987.7417,9
1987,10,1987.8250,19
1987,11,1987.9083,18
1987,12,1987.9917,21
1988,1,1988.0750,17
1988,2,1988.1583,36
1988,3,1988.2417,25
1988,4,1988.3250,31
1988,5,1988.4083,29
